profile,protocol,runs,sessions,errors,startup_p50_ms,startup_p95_ms,e2e_p50_ms,e2e_p95_ms,jitter_p50_ms,throughput_kbps,stall_sec_per_min,stalled_pct,recovery_p50_ms
baseline,moq,3,300,0,239,423,44,46,1,4665,4.80,5.76,
baseline,webrtc,3,60,0,688,986,23,28,0,2333,4.80,5.72,
baseline,hls,3,60,0,1269,1904,729,2506,309,6000,0.00,0.00,
home-wifi,moq,3,300,0,471,669,4062,5960,125,1372,20.25,14.70,
home-wifi,webrtc,3,60,0,884,1251,31,54,2,2361,4.80,5.84,
home-wifi,hls,3,60,0,1723,2048,1031,2863,323,3598,0.00,0.00,
mobile-4g,moq,3,300,0,998,1336,7063,11469,403,551,57.16,49.37,
mobile-4g,webrtc,3,60,0,1194,1509,56,156,9,2494,4.80,5.78,
mobile-4g,hls,3,60,0,2651,3386,1334,3756,409,1200,0.00,0.00,
mobile-3g,moq,3,300,0,2098,2690,13314,22313,1001,245,60.00,94.57,
mobile-3g,webrtc,3,60,0,2005,2601,284,334,19,1520,4.80,5.90,
mobile-3g,hls,3,60,0,6320,7533,12557,17026,582,593,54.25,81.01,
lossy,moq,3,300,0,776,1034,5829,9125,268,714,44.52,29.88,
lossy,webrtc,3,60,0,1093,2000,44,117,6,2403,4.80,6.00,
lossy,hls,3,60,0,3152,4474,1577,3772,467,1200,0.00,0.00,
satellite,moq,3,300,0,1850,2173,10688,18568,754,326,59.98,84.30,
satellite,webrtc,3,60,0,3079,3416,176,528,11,2584,4.80,5.89,
satellite,hls,3,60,0,7278,9198,14512,18707,581,330,58.14,95.98,
burst-loss,moq,3,300,0,467,658,4208,6731,117,1216,21.59,16.40,4000
burst-loss,webrtc,3,60,0,956,1193,38,64,3,2364,4.82,6.14,0
burst-loss,hls,3,60,0,1914,2301,1390,5106,623,1994,3.15,2.71,4000
degrading,moq,3,300,0,291,481,59,10021,757,1063,45.63,55.28,
degrading,webrtc,3,60,0,812,1096,92,317,19,1977,4.80,6.12,
degrading,hls,3,60,0,1718,2099,2591,8044,648,2248,7.76,13.15,
