profile,protocol,runs,sessions,errors,startup_p50_ms,startup_p95_ms,e2e_p50_ms,e2e_p95_ms,jitter_p50_ms,throughput_kbps,stall_sec_per_min,stalled_pct,recovery_p50_ms
baseline,moq,2,200,0,235,421,44,45,3,4736,4.00,4.47,
baseline,webrtc,2,40,0,699,943,23,28,0,2410,2.67,2.95,
baseline,hls,2,40,0,1218,1872,713,2628,317,6000,0.00,0.00,
mobile-4g,moq,2,200,0,1007,1325,6935,11131,548,557,57.35,47.84,
mobile-4g,webrtc,2,40,0,1182,1529,56,157,9,2594,2.67,2.94,
mobile-4g,hls,2,40,0,2682,3248,1296,3357,397,1200,0.00,0.00,
mobile-3g,moq,2,200,0,2034,2648,12555,23624,1255,245,60.00,93.13,
mobile-3g,webrtc,2,40,0,1984,2294,283,341,18,1638,2.67,3.05,
mobile-3g,hls,2,40,0,6377,8092,12716,17441,557,655,54.26,80.72,
burst-loss,moq,2,200,0,463,668,4159,6300,143,1251,20.98,14.83,3000
burst-loss,webrtc,2,40,0,869,1221,38,64,3,2438,2.67,3.17,0
burst-loss,hls,2,40,0,1924,2292,1617,4429,652,2491,2.75,5.47,5000
